Denni naklady:
Rozdil: 4890, moznosti: 1
* 35 - 77, 78 - 34
Rozdil: 6252, moznosti: 1
* 5 - 43, 44 - 4
Rozdil: 840, moznosti: 1
* 13 - 49, 50 - 12
Rozdil: 3736, moznosti: 1
* 13 - 49, 50 - 12
Rozdil: 4188, moznosti: 1
* 3 - 41, 42 - 2
Rozdil: 0, moznosti: 1
* 22 - 58, 59 - 21
Rozdil: 4842, moznosti: 1
* 25 - 60, 61 - 24
Rozdil: 1804, moznosti: 1
* 20 - 56, 57 - 19
Rozdil: 2018, moznosti: 4
* 4 - 44, 45 - 3
* 14 - 51, 52 - 13
* 23 - 60, 61 - 22
* 30 - 68, 69 - 29
Rozdil: 870, moznosti: 1
* 31 - 71, 72 - 30
Rozdil: 2182, moznosti: 2
* 3 - 40, 41 - 2
* 4 - 43, 44 - 3
Rozdil: 152, moznosti: 2
* 12 - 49, 50 - 11
* 30 - 69, 70 - 29
Rozdil: 2475, moznosti: 1
* 27 - 64, 65 - 26
Rozdil: 994, moznosti: 1
* 19 - 57, 58 - 18
Rozdil: 592, moznosti: 1
* 19 - 57, 58 - 18
Rozdil: 0, moznosti: 1
* 4 - 45, 46 - 3
Rozdil: 204, moznosti: 1
* 39 - 80, 81 - 38
Rozdil: 0, moznosti: 1
* 24 - 61, 62 - 23
Rozdil: 3228, moznosti: 1
* 32 - 73, 74 - 31
Rozdil: 4218, moznosti: 1
* 5 - 46, 47 - 4
Rozdil: 667, moznosti: 1
* 8 - 47, 48 - 7
Rozdil: 201, moznosti: 1
* 29 - 65, 66 - 28
Rozdil: 1757, moznosti: 2
* 14 - 53, 54 - 13
* 35 - 76, 77 - 34
Rozdil: 87, moznosti: 1
* 27 - 64, 65 - 26
Rozdil: 1080, moznosti: 1
* 14 - 52, 53 - 13
Rozdil: 175, moznosti: 1
* 21 - 57, 58 - 20
Rozdil: 5, moznosti: 1
* 31 - 69, 70 - 30
Rozdil: 1361, moznosti: 1
* 3 - 45, 46 - 2
Rozdil: 291, moznosti: 1
* 16 - 56, 57 - 15
Rozdil: 719, moznosti: 1
* 32 - 72, 73 - 31
Rozdil: 4316, moznosti: 2
* 16 - 56, 57 - 15
* 19 - 58, 59 - 18
Rozdil: 903, moznosti: 1
* 40 - 80, 81 - 39
Rozdil: 2174, moznosti: 1
* 39 - 79, 80 - 38
Rozdil: 954, moznosti: 1
* 38 - 77, 78 - 37
Rozdil: 1377, moznosti: 1
* 37 - 78, 79 - 36
Rozdil: 526, moznosti: 1
* 2 - 44, 45 - 1
Rozdil: 70, moznosti: 1
* 3 - 45, 46 - 2
Rozdil: 6184, moznosti: 1
* 32 - 71, 72 - 31
Rozdil: 1020, moznosti: 1
* 11 - 48, 49 - 10
Rozdil: 3749, moznosti: 1
* 23 - 62, 63 - 22
Rozdil: 1724, moznosti: 1
* 15 - 56, 57 - 14
Rozdil: 1343, moznosti: 1
* 29 - 67, 68 - 28
Rozdil: 326, moznosti: 1
* 6 - 50, 51 - 5
Rozdil: 9405, moznosti: 1
* 31 - 68, 69 - 30
Rozdil: 3261, moznosti: 1
* 33 - 70, 71 - 32
Rozdil: 7224, moznosti: 1
* 7 - 50, 51 - 6
Rozdil: 10, moznosti: 1
* 26 - 63, 64 - 25
Rozdil: 3687, moznosti: 1
* 29 - 66, 67 - 28
